filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,spectral_contrast,spectral_flatness,tonnetz,estimated_tempo,genre/label
country.00094,0.36683768,0.20671465,1474.8499278498255,1745.839793821342,3108.264538082914,0.06299281636996903,-104.34503,136.39078,-20.945368,52.856277,2.0411732,20.4421,-11.609351,17.660004,-15.732086,11.048515,-11.324082,3.667656,-6.4950447,0.037380017,-2.03518,2.1970925,-7.1093903,1.8496743,1.6755978,-1.4920392,23.5677117826393,0.0018254751,0.02657785538061343,112.34714674,country
country.00025,0.3472532,0.079920396,1565.431223477452,2016.0697737618789,3188.930716972233,0.05730313044214396,-200.55273,119.6749,-3.610737,31.948755,9.960271,15.300823,0.6459008,0.23760208,-4.4849396,-2.3116183,-5.256658,-2.467951,-6.0482955,-0.80000913,-4.6996527,-11.293138,-8.870809,-8.073557,-3.1610441,0.33075073,19.845070935534753,0.008667187,0.018447086555204988,143.5546875,country
country.00076,0.29733223,0.1283845,1321.6790674106805,1409.5866761543361,2590.392669583253,0.0665252968991873,-183.93301,159.80644,-23.158834,43.042244,-9.447456,8.819705,-1.6358219,4.336582,-13.358882,0.82692677,-13.96381,1.4347485,-7.383808,0.6049454,-3.383083,-3.5833237,-9.062474,-3.159365,-4.068544,-7.052489,23.52673755160462,0.001220476,-0.013899598822923279,143.5546875,country
country.00030,0.22138995,0.07963136,1240.515213914541,1996.7540743071881,2412.6354111237424,0.042844034200851394,-277.08127,128.25803,42.43324,37.703354,12.779029,9.593897,-5.991899,-7.5405145,-8.031543,-4.9402175,-6.5287766,-3.623291,-7.2277794,-7.456974,-1.5753422,1.3918777,3.0800104,2.5132604,-1.051766,-2.753359,22.09331761355678,0.0023811948,-0.00994649162315624,161.49902344,country
country.00089,0.32211447,0.10463767,1321.6785458942293,1667.211776668913,2583.926042019398,0.05250308388157895,-205.12328,140.99438,-8.959963,36.98419,6.42073,14.875101,-4.322673,12.236841,-11.4342375,11.855492,-7.9061103,9.917307,-2.3520346,4.481439,-5.0144715,3.1405056,-4.527332,2.6542614,-3.122376,-10.710899,24.189410417294464,0.0018495381,0.0029002148588844357,143.5546875,country
country.00084,0.31979057,0.18066137,1965.1836437131567,2036.5948672828224,4059.808784225039,0.09301795605166409,-80.21146,108.19512,-23.833471,52.611164,-6.428964,15.069013,-17.649862,9.736661,-16.181112,8.921028,-15.959852,8.013533,-10.70337,4.577196,-4.9613624,4.001087,-9.813264,2.6794775,-8.189075,-5.2383523,23.728202295099063,0.006611919,0.01206888441510214,172.265625,country
country.00026,0.3297725,0.10054968,1269.551653823602,1700.9142035410262,2496.526570512045,0.05483186798568111,-194.33961,151.87515,-3.0394764,29.473024,9.101601,5.99288,3.7898684,3.7498224,-5.8702555,1.606917,-3.768025,0.9341676,1.9690326,-2.241316,3.3563638,3.7591166,-1.1371444,2.2283375,3.3787048,-4.1435404,19.844614306383743,0.004045927,0.002520116276485743,107.66601562,country
country.00038,0.36729592,0.09095809,2860.2957655436016,2919.8883978803406,6247.020558454673,0.12115799753289473,-118.013916,74.156296,8.295459,15.476617,6.166327,8.450165,4.1198435,5.7315044,-1.9607223,3.1616578,5.0481277,-1.122174,2.4414508,-1.4230659,-4.742861,-6.3762836,-5.7537036,-6.2655463,-4.5102773,-1.0004205,18.739462805560873,0.038493633,0.015576935936714392,151.99908088,country
country.00087,0.32834727,0.108645625,1589.6751393886505,1806.062845010436,3159.772559954286,0.07391451903541021,-170.871,124.80758,-19.249126,39.196636,-3.7391822,15.278638,-12.958119,8.52262,-11.827606,11.31624,-13.769402,3.0959048,-10.072478,2.8912895,-5.475575,2.5318334,-9.19398,1.0764419,-3.5708272,-6.7212653,25.226798196357617,0.0026765051,0.022007439446433536,143.5546875,country
country.00014,0.36474496,0.09266733,2951.907478934419,3036.164479338076,6568.810279302922,0.12474225401509288,-124.613556,72.51686,16.712091,18.248575,12.228126,8.091975,7.9814043,-0.51858795,2.3713706,-0.5609687,-5.5707827,0.54081863,-5.066661,-1.1604714,-3.5820608,-3.6940432,-0.17630349,-0.65160793,-4.144267,-3.9947877,19.0052122609366,0.04526394,-0.007747148501055323,135.99917763,country
